mesto_na_lestvici,naslov_pesmi,ime_izvajalca,najvišje_mesto,tednov_na_lestvici
7,Havana,Camila Cabello Featuring Young Thug,1,31
8,Pray For Me,The Weeknd & Kendrick Lamar,7,6
9,Look Alive,BlocBoy JB Featuring Drake,5,5
10,All The Stars,Kendrick Lamar & SZA,7,10
11,Stir Fry,Migos,8,12
12,Rockstar,Post Malone Featuring 21 Savage,1,26
13,Let You Down,NF,12,22
14,New Rules,Dua Lipa,6,33
15,Ric Flair Drip,Offset & Metro Boomin,15,20
16,Never Be The Same,Camila Cabello,16,13
17,Mine,Bazzi,17,8
18,Him & I,G-Eazy & Halsey,14,15
19,Sad!,XXXTENTACION,17,2
20,Thunder,Imagine Dragons,4,46
21,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",21,9
22,I Fall Apart,Post Malone,16,25
23,Lights Down Low,MAX Featuring gnash,20,23
24,Whatever It Takes,Imagine Dragons,24,7
25,Plug Walk,Rich The Kid,25,5
26,Say Something,Justin Timberlake Featuring Chris Stapleton,9,7
27,Bad At Love,Halsey,5,28
28,Feel It Still,Portugal. The Man,4,39
29,Everyday,Logic & Marshmello,29,2
30,Marry Me,Thomas Rhett,30,15
31,Bartier Cardi,Cardi B Featuring 21 Savage,14,12
32,Wait,Maroon 5,32,9
33,Wolves,Selena Gomez X Marshmello,20,21
34,You Make It Easy,Jason Aldean,28,7
35,Outside Today,YoungBoy Never Broke Again,31,9
36,Heaven,Kane Brown,36,12
37,Love.,Kendrick Lamar Featuring Zacari,11,38
38,How Long,Charlie Puth,21,23
39,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,27
40,MotorSport,"Migos, Nicki Minaj & Cardi B",6,20
41,Friends,Marshmello & Anne-Marie,41,5
42,Young Dumb & Broke,Khalid,18,35
43,New Freezer,Rich The Kid Featuring Kendrick Lamar,42,7
44,Sky Walker,Miguel Featuring Travis Scott,29,25
45,Broken Halos,Chris Stapleton,45,16
46,44 More,Logic,22,3
47,Plain Jane,A$AP Ferg Featuring Nicki Minaj,26,25
48,Sorry Not Sorry,Demi Lovato,6,36
49,Top Off,"DJ Khaled Featuring JAY Z, Future & B",22,2
50,Billy,6ix9ine,50,3
51,Most People Are Good,Luke Bryan,51,7
52,Gummo,6ix9ine,12,18
53,Dura,Daddy Yankee,50,6
54,Zombie,Bad Wolves,54,1
55,Five More Minutes,Scotty McCreery,44,15
56,Indica Badu,Logic Featuring Wiz Khalifa,56,1
57,Singles You Up,Jordan Davis,57,6
58,Love Lies,Khalid & Normani,43,4
59,Changes,XXXTENTACION,47,2
60,Contra,Logic,60,1
61,Lemon,N*E*R*D & Rihanna,40,19
62,Nowadays,Lil Skies Featuring Landon Cube,55,10
63,NBAYoungboat,Lil Yachty Featuring NBA YoungBoy,63,1
64,IDGAF,Dua Lipa,64,9
65,All On Me,Devin Dawson,65,16
66,El Farsante,Ozuna & Romeo Santos,49,7
67,No Excuses,Meghan Trainor,46,2
68,Overnight,Logic,68,1
69,Walk It Talk It,Migos Featuring Drake,18,7
70,Pick It Up,Famous Dex Featuring A$AP Rocky,54,18
71,X,Nicky Jam x J Balvin,71,2
72,Hardaway,Derez De'Shon,67,6
73,66,Lil Yachty Featuring Trippie Redd,73,1
74,Midnight,Logic,74,1
75,Tell Me You Love Me,Demi Lovato,53,16
76,Powerglide,Rae Sremmurd & Juicy J,76,2
77,The Long Way,Brett Eldredge,75,6
78,Red Roses,Lil Skies Featuring Landon Cube,69,10
79,Betrayed,Lil Xan,64,18
80,No Smoke,YoungBoy Never Broke Again,61,15
81,Written In The Sand,Old Dominion,51,17
82,I Like Me Better,Lauv,82,5
83,Wassup,Logic Featuring Big Sean,83,1
84,Delicate,Taylor Swift,84,1
85,River,Eminem Featuring Ed Sheeran,11,13
86,When We,Tank,79,11
87,Yuck,Logic,87,1
88,Boom!,Lil Yachty Featuring Ugly God,88,1
89,Booty,Blac Youngsta,73,3
90,Beautiful Trauma,P!nk,78,12
91,This Is Me,Keala Settle & The Greatest Showman Ensemble,58,11
92,Narcos,Migos,36,7
93,X,"ScHoolboy Q, 2 Chainz & Saudi",49,5
94,At The Club,Jacquees X Dej Loaf,86,6
95,I Lived It,Blake Shelton,95,2
96,She's With Me,High Valley,93,3
97,BoomTrap Protocol,Logic,97,1
98,Warm It Up,Logic Featuring Young Sinatra,98,1
99,Echame La Culpa,Luis Fonsi & Demi Lovato,47,17
100,Dark Knight Dummo,Trippie Redd Featuring Travis Scott,72,5
1,God's Plan,Drake,1,9
2,Meant To Be,Bebe Rexha & Florida Georgia Line,2,22
3,Perfect,Ed Sheeran,1,30
4,Finesse,Bruno Mars & Cardi B,3,12
5,Psycho,Post Malone Featuring Ty Dolla $ign,2,4
6,The Middle,"Zedd, Maren Morris & Grey",6,8
7,Sad!,XXXTENTACION,7,3
8,Havana,Camila Cabello Featuring Young Thug,1,32
9,Freaky Friday,Lil Dicky Featuring Chris Brown,9,1
10,Pray For Me,The Weeknd & Kendrick Lamar,7,7
11,Look Alive,BlocBoy JB Featuring Drake,5,6
12,Stir Fry,Migos,8,13
13,Ric Flair Drip,Offset & Metro Boomin,13,21
14,All The Stars,Kendrick Lamar & SZA,7,11
15,Mine,Bazzi,15,9
16,New Rules,Dua Lipa,6,34
17,Let You Down,NF,12,23
18,Rockstar,Post Malone Featuring 21 Savage,1,27
19,Never Be The Same,Camila Cabello,16,14
20,Walk It Talk It,Migos Featuring Drake,18,8
21,Him & I,G-Eazy & Halsey,14,16
22,Thunder,Imagine Dragons,4,47
23,Plug Walk,Rich The Kid,23,6
24,Whatever It Takes,Imagine Dragons,24,8
25,I Fall Apart,Post Malone,16,26
26,Lights Down Low,MAX Featuring gnash,20,24
27,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",21,10
28,Friends,Marshmello & Anne-Marie,28,6
29,Wait,Maroon 5,29,10
30,Heaven,Kane Brown,30,13
31,Marry Me,Thomas Rhett,30,16
32,Say Something,Justin Timberlake Featuring Chris Stapleton,9,8
33,Bad At Love,Halsey,5,29
34,Feel It Still,Portugal. The Man,4,40
35,Moonlight,XXXTENTACION,35,1
36,You Make It Easy,Jason Aldean,28,8
37,Changes,XXXTENTACION,37,3
38,Bartier Cardi,Cardi B Featuring 21 Savage,14,13
39,Outside Today,YoungBoy Never Broke Again,31,10
40,Lemon,N*E*R*D & Rihanna,40,20
41,Wolves,Selena Gomez X Marshmello,20,22
42,Love.,Kendrick Lamar Featuring Zacari,11,39
43,MotorSport,"Migos, Nicki Minaj & Cardi B",6,21
44,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,28
45,New Freezer,Rich The Kid Featuring Kendrick Lamar,42,8
46,Young Dumb & Broke,Khalid,18,36
47,Most People Are Good,Luke Bryan,47,8
48,How Long,Charlie Puth,21,24
49,Found / Tonight,Lin-Manuel Miranda & Ben Platt,49,1
50,Sky Walker,Miguel Featuring Travis Scott,29,26
51,Powerglide,Rae Sremmurd & Juicy J,51,3
52,All On Me,Devin Dawson,52,17
53,Love Lies,Khalid & Normani,43,5
54,Dura,Daddy Yankee,50,7
55,Broken Halos,Chris Stapleton,45,17
56,Everyday,Logic & Marshmello,29,3
57,Singles You Up,Jordan Davis,57,7
58,IDGAF,Dua Lipa,58,10
59,X,Nicky Jam x J Balvin,59,3
60,Five More Minutes,Scotty McCreery,44,16
61,Billy,6ix9ine,50,4
62,Top Off,"DJ Khaled Featuring JAY Z, Future & B",22,3
63,Gummo,6ix9ine,12,19
64,No Excuses,Meghan Trainor,46,3
65,Hardaway,Derez De'Shon,65,7
66,Delicate,Taylor Swift,66,2
67,The Remedy For A Broken Heart (Why Am I So In Love),XXXTENTACION,67,1
68,Zombie,Bad Wolves,54,2
69,El Farsante,Ozuna & Romeo Santos,49,8
70,44 More,Logic,22,4
71,Pick It Up,Famous Dex Featuring A$AP Rocky,54,19
72,In My Blood,Shawn Mendes,72,1
73,Tell Me You Love Me,Demi Lovato,53,17
74,The Long Way,Brett Eldredge,74,7
75,Red Roses,Lil Skies Featuring Landon Cube,69,11
76,Betrayed,Lil Xan,64,19
77,NBAYoungboat,Lil Yachty Featuring NBA YoungBoy,63,2
78,When We,Tank,78,12
79,No Smoke,YoungBoy Never Broke Again,61,16
80,I Like Me Better,Lauv,80,6
81,Nowadays,Lil Skies Featuring Landon Cube,55,11
82,Numb,XXXTENTACION,82,1
83,Infinity (888),XXXTENTACION Featuring Joey Bada$$,83,1
84,One Number Away,Luke Combs,84,1
85,I Lived It,Blake Shelton,85,3
86,Sit Next To Me,Foster The People,86,1
87,Tequila,Dan + Shay,84,2
88,Narcos,Migos,36,8
89,Booty,Blac Youngsta,73,4
90,She's With Me,High Valley,90,4
91,Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,91,2
92,Written In The Sand,Old Dominion,51,18
93,Beautiful Trauma,P!nk,78,13
94,Tempo,Chris Brown,94,2
95,Going Down!,XXXTENTACION,95,1
96,At The Club,Jacquees X Dej Loaf,86,7
97,Echame La Culpa,Luis Fonsi & Demi Lovato,47,18
98,La Modelo,Ozuna x Cardi B,52,12
99,Dark Knight Dummo,Trippie Redd Featuring Travis Scott,72,6
100,Everybody Hates Me,The Chainsmokers,100,1
1,God's Plan,Drake,1,10
2,Meant To Be,Bebe Rexha & Florida Georgia Line,2,23
3,Finesse,Bruno Mars & Cardi B,3,13
4,Psycho,Post Malone Featuring Ty Dolla $ign,2,5
5,Perfect,Ed Sheeran,1,31
6,Look Alive,BlocBoy JB Featuring Drake,5,7
7,The Middle,"Zedd, Maren Morris & Grey",6,9
8,Freaky Friday,Lil Dicky Featuring Chris Brown,8,2
9,Sad!,XXXTENTACION,7,4
10,Havana,Camila Cabello Featuring Young Thug,1,33
11,Mine,Bazzi,11,10
12,Pray For Me,The Weeknd & Kendrick Lamar,7,8
13,Stir Fry,Migos,8,14
14,Never Be The Same,Camila Cabello,14,15
15,Walk It Talk It,Migos Featuring Drake,15,9
16,All The Stars,Kendrick Lamar & SZA,7,12
17,Ric Flair Drip,Offset & Metro Boomin,13,22
18,Plug Walk,Rich The Kid,18,7
19,Let You Down,NF,12,24
20,New Rules,Dua Lipa,6,35
21,Rockstar,Post Malone Featuring 21 Savage,1,28
22,In My Blood,Shawn Mendes,22,2
23,Whatever It Takes,Imagine Dragons,23,9
24,Thunder,Imagine Dragons,4,48
25,Him & I,G-Eazy & Halsey,14,17
26,Wait,Maroon 5,26,11
27,Lights Down Low,MAX Featuring gnash,20,25
28,Heaven,Kane Brown,28,14
29,I Fall Apart,Post Malone,16,27
30,Friends,Marshmello & Anne-Marie,28,7
31,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",21,11
32,Feel It Still,Portugal. The Man,4,41
33,Say Something,Justin Timberlake Featuring Chris Stapleton,9,9
34,You Make It Easy,Jason Aldean,28,9
35,Marry Me,Thomas Rhett,30,17
36,Lemon,N*E*R*D & Rihanna,36,21
37,Bad At Love,Halsey,5,30
38,Powerglide,Rae Sremmurd & Juicy J,38,4
39,Changes,XXXTENTACION,37,4
40,Outside Today,YoungBoy Never Broke Again,31,11
41,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,4,29
42,New Freezer,Rich The Kid Featuring Kendrick Lamar,42,9
43,Love.,Kendrick Lamar Featuring Zacari,11,40
44,Wolves,Selena Gomez X Marshmello,20,23
45,MotorSport,"Migos, Nicki Minaj & Cardi B",6,22
46,Most People Are Good,Luke Bryan,46,9
47,Bartier Cardi,Cardi B Featuring 21 Savage,14,14
48,Moonlight,XXXTENTACION,35,2
49,Love Lies,Khalid & Normani,43,6
50,Singles You Up,Jordan Davis,50,8
51,X,Nicky Jam x J Balvin,51,4
52,Delicate,Taylor Swift,52,3
53,Dura,Daddy Yankee,50,8
54,IDGAF,Dua Lipa,54,11
55,No Excuses,Meghan Trainor,46,4
56,Gummo,6ix9ine,12,20
57,Billy,6ix9ine,50,5
58,Broken Halos,Chris Stapleton,45,18
59,Tell Me You Love Me,Demi Lovato,53,18
60,Say Amen (Saturday Night),Panic! At The Disco,60,1
61,Hardaway,Derez De'Shon,61,8
62,All On Me,Devin Dawson,52,18
63,El Farsante,Ozuna & Romeo Santos,49,9
64,Lost In Japan,Shawn Mendes X Zedd,64,1
65,Zombie,Bad Wolves,54,3
66,Top Off,"DJ Khaled Featuring JAY Z, Future & B",22,4
67,Everyday,Logic & Marshmello,29,4
68,The Long Way,Brett Eldredge,68,8
69,Red Roses,Lil Skies Featuring Landon Cube,69,12
70,Japan,Famous Dex,70,1
71,Pick It Up,Famous Dex Featuring A$AP Rocky,54,20
72,Five More Minutes,Scotty McCreery,44,17
73,One Number Away,Luke Combs,73,2
74,Tequila,Dan + Shay,74,3
75,NBAYoungboat,Lil Yachty Featuring NBA YoungBoy,63,3
76,I Like Me Better,Lauv,76,7
77,Betrayed,Lil Xan,64,20
78,Sit Next To Me,Foster The People,78,2
79,No Smoke,YoungBoy Never Broke Again,61,17
80,Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,80,3
81,She's With Me,High Valley,81,5
82,When We,Tank,78,13
83,I Lived It,Blake Shelton,83,4
84,Nowadays,Lil Skies Featuring Landon Cube,55,12
85,44 More,Logic,22,5
86,Up Down,Morgan Wallen Featuring Florida Georgia Line,86,1
87,This Is Me,Keala Settle & The Greatest Showman Ensemble,58,12
88,Beautiful Trauma,P!nk,78,14
89,Narcos,Migos,36,9
90,Echame La Culpa,Luis Fonsi & Demi Lovato,47,19
91,Written In The Sand,Old Dominion,51,19
92,Tempo,Chris Brown,92,3
93,Booty,Blac Youngsta,73,5
94,La Modelo,Ozuna x Cardi B,52,13
95,For The First Time,Darius Rucker,95,1
96,Rubbin Off The Paint,YBN Nahmir,46,17
97,The Remedy For A Broken Heart (Why Am I So In Love),XXXTENTACION,67,2
98,Dark Knight Dummo,Trippie Redd Featuring Travis Scott,72,7
99,Get You,Daniel Caesar Featuring Kali Uchis,93,4
100,No Roots,Alice Merton,100,1
1,God's Plan,Drake,1,11
2,Meant To Be,Bebe Rexha & Florida Georgia Line,2,24
3,Psycho,Post Malone Featuring Ty Dolla $ign,2,6
4,Call Out My Name,The Weeknd,4,1
5,Look Alive,BlocBoy JB Featuring Drake,5,8
6,The Middle,"Zedd, Maren Morris & Grey",6,10
7,Perfect,Ed Sheeran,1,32
8,Finesse,Bruno Mars & Cardi B,3,14
9,Freaky Friday,Lil Dicky Featuring Chris Brown,8,3
10,Walk It Talk It,Migos Featuring Drake,10,10
11,Havana,Camila Cabello Featuring Young Thug,1,34
12,Mine,Bazzi,11,11
13,Plug Walk,Rich The Kid,13,8
14,Never Be The Same,Camila Cabello,14,16
15,Pray For Me,The Weeknd & Kendrick Lamar,7,9
16,Be Careful,Cardi B,16,1
17,Stir Fry,Migos,8,15
18,Sad!,XXXTENTACION,7,5
19,All The Stars,Kendrick Lamar & SZA,7,13
20,Ric Flair Drip,Offset & Metro Boomin,13,23
21,Rockstar,Post Malone Featuring 21 Savage,1,29
22,New Rules,Dua Lipa,6,36
23,Whatever It Takes,Imagine Dragons,23,10
24,Let You Down,NF,12,25
25,Friends,Marshmello & Anne-Marie,25,8
26,Try Me,The Weeknd,26,1
27,Wasted Times,The Weeknd,27,1
28,Heaven,Kane Brown,28,15
29,Thunder,Imagine Dragons,4,49
30,Wait,Maroon 5,26,12
31,In My Blood,Shawn Mendes,22,3
32,Him & I,G-Eazy & Halsey,14,18
33,Lights Down Low,MAX Featuring gnash,20,26
34,Powerglide,Rae Sremmurd & Juicy J,34,5
35,I Was Never There,The Weeknd Featuring Gesaffelstein,35,1
36,You Make It Easy,Jason Aldean,28,10
37,Say Something,Justin Timberlake Featuring Chris Stapleton,9,10
38,Feel It Still,Portugal. The Man,4,42
39,I Fall Apart,Post Malone,16,28
40,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",21,12
41,New Freezer,Rich The Kid Featuring Kendrick Lamar,41,10
42,Bad At Love,Halsey,5,31
43,Hurt You,The Weeknd Featuring Gesaffelstein,43,1
44,Marry Me,Thomas Rhett,30,18
45,Medicine,Queen Naija,45,1
46,Delicate,Taylor Swift,46,4
47,X,Nicky Jam x J Balvin,47,5
48,Lemon,N*E*R*D & Rihanna,36,22
49,Most People Are Good,Luke Bryan,46,10
50,Singles You Up,Jordan Davis,50,9
51,Bartier Cardi,Cardi B Featuring 21 Savage,14,15
52,Privilege,The Weeknd,52,1
53,Japan,Famous Dex,53,2
54,Outside Today,YoungBoy Never Broke Again,31,12
55,No Excuses,Meghan Trainor,46,5
56,Love Lies,Khalid & Normani,43,7
57,IDGAF,Dua Lipa,54,12
58,Changes,XXXTENTACION,37,5
59,Dura,Daddy Yankee,50,9
60,Billy,6ix9ine,50,6
61,Zombie,Bad Wolves,54,4
62,Tell Me You Love Me,Demi Lovato,53,19
63,El Farsante,Ozuna & Romeo Santos,49,10
64,Broken Halos,Chris Stapleton,45,19
65,The Long Way,Brett Eldredge,65,9
66,Tequila,Dan + Shay,66,4
67,One Number Away,Luke Combs,67,3
68,Hardaway,Derez De'Shon,61,9
69,Everyday,Logic & Marshmello,29,5
70,Top Off,"DJ Khaled Featuring JAY Z, Future & B",22,5
71,Moonlight,XXXTENTACION,35,3
72,Sit Next To Me,Foster The People,72,3
73,I Like Me Better,Lauv,73,8
74,Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,74,4
75,All On Me,Devin Dawson,52,19
76,Five More Minutes,Scotty McCreery,44,18
77,Red Roses,Lil Skies Featuring Landon Cube,69,13
78,Boo'd Up,Ella Mai,78,1
79,She's With Me,High Valley,79,6
80,When We,Tank,78,14
81,I Lived It,Blake Shelton,81,5
82,Broken Clocks,SZA,82,2
83,Up Down,Morgan Wallen Featuring Florida Georgia Line,83,2
84,No Roots,Alice Merton,84,2
85,Nowadays,Lil Skies Featuring Landon Cube,55,13
86,Say Amen (Saturday Night),Panic! At The Disco,60,2
87,No Smoke,YoungBoy Never Broke Again,61,18
88,Tempo,Chris Brown,88,4
89,OKRA,"Tyler, The Creator",89,1
90,For The First Time,Darius Rucker,90,2
91,Echame La Culpa,Luis Fonsi & Demi Lovato,47,20
92,Take Back Home Girl,Chris Lane Featuring Tori Kelly,92,1
93,Written In The Sand,Old Dominion,51,20
94,"Woman, Amen",Dierks Bentley,94,1
95,La Modelo,Ozuna x Cardi B,52,14
96,Proud,2 Chainz Featuring YG & Offset,96,1
97,Beautiful Trauma,P!nk,78,15
98,NBAYoungboat,Lil Yachty Featuring NBA YoungBoy,63,4
99,Get You,Daniel Caesar Featuring Kali Uchis,93,5
100,Focus,H.E.R.,100,1
1,Nice For What,Drake,1,1
2,God's Plan,Drake,1,12
3,Meant To Be,Bebe Rexha & Florida Georgia Line,2,25
4,Psycho,Post Malone Featuring Ty Dolla $ign,2,7
5,Look Alive,BlocBoy JB Featuring Drake,5,9
6,The Middle,"Zedd, Maren Morris & Grey",6,11
7,Perfect,Ed Sheeran,1,33
8,I Like It,"Cardi B, Bad Bunny & J Balvin",8,1
9,Freaky Friday,Lil Dicky Featuring Chris Brown,8,4
10,Finesse,Bruno Mars & Cardi B,3,15
11,Be Careful,Cardi B,11,2
12,Walk It Talk It,Migos Featuring Drake,10,11
13,Plug Walk,Rich The Kid,13,9
14,Mine,Bazzi,11,12
15,Never Be The Same,Camila Cabello,14,17
16,Havana,Camila Cabello Featuring Young Thug,1,35
17,Pray For Me,The Weeknd & Kendrick Lamar,7,10
18,Sad!,XXXTENTACION,7,6
19,Stir Fry,Migos,8,16
20,Call Out My Name,The Weeknd,4,2
21,Drip,Cardi B Featuring Migos,21,1
22,Whatever It Takes,Imagine Dragons,22,11
23,I Do,Cardi B Featuring SZA,23,1
24,Rockstar,Post Malone Featuring 21 Savage,1,30
25,All The Stars,Kendrick Lamar & SZA,7,14
26,Ric Flair Drip,Offset & Metro Boomin,13,24
27,New Rules,Dua Lipa,6,37
28,Ring,Cardi B Featuring Kehlani,28,1
29,Japan,Famous Dex,29,3
30,Heaven,Kane Brown,28,16
31,Let You Down,NF,12,26
32,Bartier Cardi,Cardi B Featuring 21 Savage,14,16
33,Thunder,Imagine Dragons,4,50
34,Friends,Marshmello & Anne-Marie,25,9
35,Wait,Maroon 5,26,13
36,Powerglide,Rae Sremmurd & Juicy J,34,6
37,In My Blood,Shawn Mendes,22,4
38,Get Up 10,Cardi B,38,1
39,Best Life,Cardi B Featuring Chance The Rapper,39,1
40,Feel It Still,Portugal. The Man,4,43
41,You Make It Easy,Jason Aldean,28,11
42,Say Something,Justin Timberlake Featuring Chris Stapleton,9,11
43,Bickenhead,Cardi B,43,1
44,Him & I,G-Eazy & Halsey,14,19
45,Lights Down Low,MAX Featuring gnash,20,27
46,I Fall Apart,Post Malone,16,29
47,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",21,13
48,Bad At Love,Halsey,5,32
49,New Freezer,Rich The Kid Featuring Kendrick Lamar,41,11
50,Thru Your Phone,Cardi B,50,1
51,Singles You Up,Jordan Davis,50,10
52,Outside Today,YoungBoy Never Broke Again,31,13
53,No Excuses,Meghan Trainor,46,6
54,Delicate,Taylor Swift,46,5
55,Marry Me,Thomas Rhett,30,19
56,Love Lies,Khalid & Normani,43,8
57,She Bad,Cardi B & YG,57,1
58,Money Bag,Cardi B,58,1
59,Diamond Teeth Samurai,YoungBoy Never Broke Again,59,1
60,Most People Are Good,Luke Bryan,46,11
61,X,Nicky Jam x J Balvin,47,6
62,One Kiss,Calvin Harris & Dua Lipa,62,1
63,Wasted Times,The Weeknd,27,2
64,IDGAF,Dua Lipa,54,13
65,A$AP Forever,A$AP Rocky Featuring Moby,65,1
66,Changes,XXXTENTACION,37,6
67,Zombie,Bad Wolves,54,5
68,Billy,6ix9ine,50,7
69,Tell Me You Love Me,Demi Lovato,53,20
70,Dura,Daddy Yankee,50,10
71,The Long Way,Brett Eldredge,65,10
72,Boo'd Up,Ella Mai,72,2
73,El Farsante,Ozuna & Romeo Santos,49,11
74,Try Me,The Weeknd,26,2
75,One Number Away,Luke Combs,67,4
76,Everyday,Logic & Marshmello,29,6
77,Tequila,Dan + Shay,66,5
78,Moonlight,XXXTENTACION,35,4
79,Sit Next To Me,Foster The People,72,4
80,I Like Me Better,Lauv,73,9
81,Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,74,5
82,Broken Halos,Chris Stapleton,45,20
83,Barbie Tingz,Nicki Minaj,83,1
84,Hardaway,Derez De'Shon,61,10
85,Get Along,Kenny Chesney,85,1
86,Medicine,Queen Naija,45,2
87,She's With Me,High Valley,79,7
88,Up Down,Morgan Wallen Featuring Florida Georgia Line,83,3
89,Five More Minutes,Scotty McCreery,44,19
90,Top Off,"DJ Khaled Featuring JAY Z, Future & B",22,6
91,When We,Tank,78,15
92,Chun-Li,Nicki Minaj,92,1
93,All On Me,Devin Dawson,52,20
94,Red Roses,Lil Skies Featuring Landon Cube,69,14
95,I Lived It,Blake Shelton,81,6
96,No Roots,Alice Merton,84,3
97,Broken Clocks,SZA,82,3
98,For The First Time,Darius Rucker,90,3
99,Proud,2 Chainz Featuring YG & Offset,96,2
100,Alone,Halsey Featuring Big Sean & Stefflon Don,100,1
1,Nice For What,Drake,1,2
2,God's Plan,Drake,1,13
3,Meant To Be,Bebe Rexha & Florida Georgia Line,2,26
4,Psycho,Post Malone Featuring Ty Dolla $ign,2,8
5,The Middle,"Zedd, Maren Morris & Grey",5,12
6,Look Alive,BlocBoy JB Featuring Drake,5,10
7,Perfect,Ed Sheeran,1,34
8,Freaky Friday,Lil Dicky Featuring Chris Brown,8,5
9,I Like It,"Cardi B, Bad Bunny & J Balvin",8,2
10,Chun-Li,Nicki Minaj,10,2
11,Walk It Talk It,Migos Featuring Drake,10,12
12,Finesse,Bruno Mars & Cardi B,3,16
13,Never Be The Same,Camila Cabello,13,18
14,Mine,Bazzi,11,13
15,Be Careful,Cardi B,11,3
16,Plug Walk,Rich The Kid,13,10
17,Call Out My Name,The Weeknd,4,3
18,Pray For Me,The Weeknd & Kendrick Lamar,7,11
19,Havana,Camila Cabello Featuring Young Thug,1,36
20,Whatever It Takes,Imagine Dragons,20,12
21,Friends,Marshmello & Anne-Marie,21,10
22,Sad!,XXXTENTACION,7,7
23,Stir Fry,Migos,8,17
24,Esskeetit,Lil Pump,24,1
25,Barbie Tingz,Nicki Minaj,25,2
26,Heaven,Kane Brown,26,17
27,Rockstar,Post Malone Featuring 21 Savage,1,31
28,Japan,Famous Dex,28,4
29,You Make It Easy,Jason Aldean,28,12
30,New Rules,Dua Lipa,6,38
31,All The Stars,Kendrick Lamar & SZA,7,15
32,Ric Flair Drip,Offset & Metro Boomin,13,25
33,Drip,Cardi B Featuring Migos,21,2
34,Thunder,Imagine Dragons,4,51
35,Powerglide,Rae Sremmurd & Juicy J,34,7
36,Wait,Maroon 5,26,14
37,Let You Down,NF,12,27
38,In My Blood,Shawn Mendes,22,5
39,Feel It Still,Portugal. The Man,4,44
40,Bartier Cardi,Cardi B Featuring 21 Savage,14,17
41,Say Something,Justin Timberlake Featuring Chris Stapleton,9,12
42,I Do,Cardi B Featuring SZA,23,2
43,Most People Are Good,Luke Bryan,43,12
44,Ring,Cardi B Featuring Kehlani,28,2
45,Lights Down Low,MAX Featuring gnash,20,28
46,I Fall Apart,Post Malone,16,30
47,Him & I,G-Eazy & Halsey,14,20
48,Cry Pretty,Carrie Underwood,48,1
49,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",21,14
50,Bad At Love,Halsey,5,33
51,Delicate,Taylor Swift,46,6
52,New Freezer,Rich The Kid Featuring Kendrick Lamar,41,12
53,No Excuses,Meghan Trainor,46,7
54,Love Lies,Khalid & Normani,43,9
55,X,Nicky Jam x J Balvin,47,7
56,Marry Me,Thomas Rhett,30,20
57,Tequila,Dan + Shay,57,6
58,Outside Today,YoungBoy Never Broke Again,31,14
59,Singles You Up,Jordan Davis,50,11
60,IDGAF,Dua Lipa,54,14
61,Diamond Teeth Samurai,YoungBoy Never Broke Again,59,2
62,Boo'd Up,Ella Mai,62,3
63,Everyday,Logic & Marshmello,29,7
64,One Kiss,Calvin Harris & Dua Lipa,62,2
65,The Long Way,Brett Eldredge,65,11
66,I Lived It,Blake Shelton,66,7
67,Best Life,Cardi B Featuring Chance The Rapper,39,2
68,Bickenhead,Cardi B,43,2
69,Changes,XXXTENTACION,37,7
70,One Number Away,Luke Combs,67,5
71,El Farsante,Ozuna & Romeo Santos,49,12
72,Dura,Daddy Yankee,50,11
73,Let Me,Zayn,73,1
74,Zombie,Bad Wolves,54,6
75,Thru Your Phone,Cardi B,50,2
76,Wasted Times,The Weeknd,27,3
77,Get Up 10,Cardi B,38,2
78,Get Along,Kenny Chesney,78,2
79,I Like Me Better,Lauv,73,10
80,Sit Next To Me,Foster The People,72,5
81,"Woman, Amen",Dierks Bentley,81,2
82,For The First Time,Darius Rucker,82,4
83,This Is Me,Keala Settle & The Greatest Showman Ensemble,58,13
84,Guatemala,Swae Lee Featuring Slim Jxmmi,84,1
85,Moonlight,XXXTENTACION,35,5
86,Up Down,Morgan Wallen Featuring Florida Georgia Line,83,4
87,Money Bag,Cardi B,58,2
88,Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,74,6
89,Anybody,Young Thug Featuring Nicki Minaj,89,1
90,She Bad,Cardi B & YG,57,2
91,Billy,6ix9ine,50,8
92,When We,Tank,78,16
93,Red Roses,Lil Skies Featuring Landon Cube,69,15
94,Top Off,"DJ Khaled Featuring JAY Z, Future & B",22,7
95,She's With Me,High Valley,79,8
96,Get You,Daniel Caesar Featuring Kali Uchis,93,6
97,Broken Clocks,SZA,82,4
98,Five More Minutes,Scotty McCreery,44,20
99,Gotti,6ix9ine,99,1
